Module,File,Line,Method,Endpoint,RequestFields,Client
components,src/components/TicketInnerLayer.jsx,69,GET,{{window.URL.createObjectURL}},,axios
components,src/components/TicketInnerLayer.jsx,71,GET,{{window.URL.createObjectURL}},,axios
components,src/components/ExpenditureLayer.jsx,197,GET,{path} OR {{replace}}/{{path.replace}},,fetch
components,src/components/CaseStudiesAddLayer.jsx,94,GET,{url},,fetch
components,src/components/ServicePlanAddLayer.jsx,148,GET,{url},,fetch
components,src/components/TicketInnerLayer.jsx,488,GET,{VITE_APIURL_IMAGE}TicketDocuments/{{rawName.trim}},,fetch
services,src/services/notificationService.js,23,POST,{VITE_APIURL}/api/Notifications/SendNotification,,fetch
components,src/components/ReasonLayer.jsx,28,GET,{VITE_APIURL}AfterServiceLeads,,axios
components,src/components/TicketsAddLayer.jsx,38,GET,{VITE_APIURL}AfterServiceLeads,,axios
components,src/components/ReasonLayer.jsx,57,POST,{VITE_APIURL}AfterServiceLeads,,axios
components,src/components/ReasonLayer.jsx,53,PUT,{VITE_APIURL}AfterServiceLeads,,axios
components,src/components/ReasonLayer.jsx,81,DELETE,{VITE_APIURL}AfterServiceLeads/{id},,axios
components,src/components/TelecalerAssignBookingLayer.jsx,185,POST,{VITE_APIURL}Agents,,axios
components,src/components/AssignSupervisorArea.jsx,118,POST,{VITE_APIURL}Area/AssignAreasToSupervisor,"areaIds, supervisorId, assignedBy",axios
components,src/components/AreaLayer.jsx,197,DELETE,{VITE_APIURL}Area/DeleteArea,areaId,axios
components,src/components/AreaLayer.jsx,53,GET,{VITE_APIURL}Area/GetArea,,axios
components,src/components/AssignSupervisorArea.jsx,36,GET,{VITE_APIURL}Area/GetArea,,axios
components,src/components/BasicInformationLayer.jsx,219,GET,{VITE_APIURL}Area/GetArea,,axios
components,src/components/LeadViewLayer.jsx,587,GET,{VITE_APIURL}Area/GetArea,,axios
components,src/components/AssignSupervisorArea.jsx,90,GET,{VITE_APIURL}Area/GetAreaWiseSupervisor,,axios
components,src/components/AreaLayer.jsx,125,POST,{VITE_APIURL}Area/InsertArea,"areaName, stateId, cityId, pincode, createdBy, isActive",axios
components,src/components/AreaLayer.jsx,105,PUT,{VITE_APIURL}Area/UpdateArea,"areaId, areaName, stateId, cityId, pincode, isActive, modifiedBy",axios
components,src/components/SupervisorAssignBookingLayer.jsx,635,POST,{VITE_APIURL}AssignSupervisor,"TechID, BookingID, AssingedTimeSlot, SupervisorID, TimeSlot, AssignedBy",axios
components,src/components/SupervisorAssignBookingLayer.jsx,608,PUT,{VITE_APIURL}AssignSupervisor,"TechID, BookingID, AssingedTimeSlot, SupervisorID, TimeSlot, AssignedBy",axios
components,src/components/SignInLayer.jsx,40,POST,{VITE_APIURL}Auth/Admin-login,,axios
components,src/components/ViewProfileLayer.jsx,82,GET,{VITE_APIURL}Auth/adminid?adminid={{localStorage.getItem}},,axios
masterLayout,src/masterLayout/MasterLayout.jsx,206,GET,{VITE_APIURL}Auth/adminid?adminid=2,,axios
utils,src/utils/axiosInterceptor.js,83,POST,{VITE_APIURL}Auth/refresh,refreshToken,axios
components,src/components/ResetPasswordLayer.jsx,35,POST,{VITE_APIURL}Auth/technician-login,,axios
components,src/components/AddBlogLayer.jsx,74,POST,{VITE_APIURL}Blogs/InsertBlog,"PostTitle, PostCategory, PostDescription, Thumbnai1",axios
components,src/components/SupervisorAssignBookingLayer.jsx,404,POST,{VITE_APIURL}Booking_Assignments,"TechID, BookingID, AssingedTimeSlot, SupervisorID, TimeSlot, AssignedBy",axios
components,src/components/LeaveEditLayer.jsx,46,GET,{VITE_APIURL}Booking/ByTechnician/{techId}?from={fromDate}&to={toDate},,axios
components,src/components/TicketsAddLayer.jsx,109,GET,{VITE_APIURL}bookings,,axios
components,src/components/BookingLayer.jsx,143,GET,{VITE_APIURL}Bookings,,axios
components,src/components/BookingReportSortingLayer.jsx,79,GET,{VITE_APIURL}Bookings,,axios
components,src/components/CompleteServiceReportLayer.jsx,1029,GET,{VITE_APIURL}Bookings,,axios
components,src/components/ExpenditureLayer.jsx,134,GET,{VITE_APIURL}Bookings,,axios
components,src/components/ServiceTimelineBoard.jsx,36,GET,{VITE_APIURL}Bookings,,axios
components,src/components/SupervisorAssignBookingLayer.jsx,110,GET,{VITE_APIURL}Bookings,,axios
components,src/components/TelecalerAssignBookingLayer.jsx,51,GET,{VITE_APIURL}Bookings,,axios
components,src/components/FieldAdvisorDashboardLayer.jsx,73,GET,{VITE_APIURL}Bookings?employeeId={{localStorage.getItem}},,axios
components/child,src/components/child/UnitCountSeven.jsx,51,GET,{VITE_APIURL}Bookings?IsRefunded=true,,axios
components,src/components/RefundLayer.jsx,63,GET,{VITE_APIURL}Bookings?IsRefunded=true,,axios
components,src/components/DealerDashboardLayer.jsx,211,GET,{VITE_APIURL}Bookings?type=Dealer&dealerid={{localStorage.getItem}},,axios
components,src/components/CustomerViewLayer.jsx,55,GET,{VITE_APIURL}Bookings/{CustomerID},,axios
components,src/components/BookingLayer.jsx,328,PUT,{VITE_APIURL}Bookings/assign-technician,"bookingIds, supervisorHeadId, fieldAdvisorId, bookingID, techID, assingedTimeSlot, role",axios
components,src/components/BookingReportSortingLayer.jsx,204,PUT,{VITE_APIURL}Bookings/assign-technician,"bookingID, techID, assingedTimeSlot, role",axios
components,src/components/TelecalerAssignBookingLayer.jsx,100,PUT,{VITE_APIURL}Bookings/assign-technician,"TechID, BookingID, AssingedTimeSlot",axios
components,src/components/BookingViewLayer.jsx,1755,PUT,{VITE_APIURL}Bookings/booking-status,"bookingID, bookingStatus",axios
components,src/components/CompleteServiceReportLayer.jsx,1053,GET,{VITE_APIURL}Bookings/BookingId?Id={{searchParams.get}},,axios
components,src/components/AssignTechnicianLayer.jsx,174,GET,{VITE_APIURL}Bookings/BookingId?Id={bookingId},,axios
components,src/components/BasicInformationLayer.jsx,96,GET,{VITE_APIURL}Bookings/BookingId?Id={bookingId},,axios
components,src/components/InvoiceViewLayer.jsx,39,GET,{VITE_APIURL}Bookings/BookingId?Id={bookingId},,axios
components,src/components/RefundLayer.jsx,138,GET,{VITE_APIURL}Bookings/BookingId?Id={bookingId},,axios
components,src/components/CompleteServiceReportLayer.jsx,1079,GET,{VITE_APIURL}Bookings/BookingId?Id={OptionalMemberExpression} OR {OptionalMemberExpression},,axios
components,src/components/DealerDashboardLayer.jsx,156,GET,{VITE_APIURL}Bookings/BookingId?Id={priceModalRow.booking.BookingID}&dealerId={{localStorage.getItem}},,axios
components,src/components/BookingViewLayer.jsx,2572,POST,{VITE_APIURL}Bookings/Cancel,BookingID,axios
components,src/components/BookingViewLayer.jsx,1741,POST,{VITE_APIURL}Bookings/convert-inspection-to-service,"bookingId, confirmStatus",axios
components,src/components/TechnicianViewLayer.jsx,51,GET,{VITE_APIURL}Bookings/GetAssignedBookings?Id={TechnicianID},,axios
components,src/components/FieldAdvisorDashboardLayer.jsx,211,GET,{VITE_APIURL}Bookings/GetBookingServicesByRole?role=FieldAdvisor&employeeId={{localStorage.getItem}}&type=notconfirm,,axios
components,src/components/SupervisorHeadDashboardLayer.jsx,125,GET,{VITE_APIURL}Bookings/GetBookingServicesByRole?role=Supervisor&employeeId={{localStorage.getItem}}&type=notconfirm,,axios
services,src/services/notificationService.js,52,GET,{VITE_APIURL}Bookings/notifications?userId={userId}&userRole={{roleFromStorage.toLowerCase}} OR customer,,axios
services,src/services/notificationService.js,72,PUT,{VITE_APIURL}Bookings/notifications/{notificationId}/read,,axios
components,src/components/BookingViewLayer.jsx,5185,POST,{VITE_APIURL}cancellations,"BookingID, TechID, AssingedTimeSlot, Role, AssignedBy, bookingIds, supervisorHeadId, fieldAdvisorId, assignTimeSlot, endTimeslot, bookingID, assignDate, role, techID, addOnId, leadId, ServiceType, timeSlot, ids, supervisorID, addOns, addOnID, is_Completed, completedBy, completedRole, statusName, ticketId, bookingId, addOnIds, reason, createdBy, scheduledDate, timeslot, status, lastReworkID, cancelledBy, refundStatus",axios
components,src/components/CaseStudiesAddLayer.jsx,63,GET,{VITE_APIURL}Category,,axios
components,src/components/CaseStudiesLayer.jsx,42,GET,{VITE_APIURL}Category,,axios
components,src/components/DealerAddLayer.jsx,243,GET,{VITE_APIURL}Category,,axios
components,src/components/ExplanationsAddLayer.jsx,75,GET,{VITE_APIURL}Category,,axios
components,src/components/FaqsAddLayer.jsx,74,GET,{VITE_APIURL}Category,,axios
components,src/components/IncludesLayer.jsx,79,GET,{VITE_APIURL}Category,,axios
components,src/components/SeoAddLayer.jsx,76,GET,{VITE_APIURL}Category,,axios
components,src/components/ServiceCategoriesLayer.jsx,83,GET,{VITE_APIURL}Category,,axios
components,src/components/ServicePlanAddLayer.jsx,117,GET,{VITE_APIURL}Category,,axios
components,src/components/ServicePlanListLayer.jsx,40,GET,{VITE_APIURL}Category,,axios
components,src/components/ServiceSubCategories1Layer.jsx,72,GET,{VITE_APIURL}Category,,axios
components,src/components/ServiceSubCategories2Layer.jsx,67,GET,{VITE_APIURL}Category,,axios
components,src/components/ServiceCategoryViewLayer.jsx,20,GET,{VITE_APIURL}Category/{CategoryID},,axios
components,src/components/ServiceCategoriesLayer.jsx,120,POST,{VITE_APIURL}Category/AddCategory,"{key}, IconImage1, ThumbnailImage1, ModifiedBy, CreatedBy",axios
components,src/components/ServiceCategoriesLayer.jsx,117,PUT,{VITE_APIURL}Category/UpdateCategory,"{key}, IconImage1, ThumbnailImage1, ModifiedBy, CreatedBy",axios
components,src/components/AreaLayer.jsx,73,GET,{VITE_APIURL}City,,axios
components,src/components/CityLayer.jsx,49,GET,{VITE_APIURL}City,,axios
components,src/components/CustomerAddLayer.jsx,75,GET,{VITE_APIURL}City,,axios
components,src/components/DealerAddLayer.jsx,235,GET,{VITE_APIURL}City,,axios
components,src/components/DealerProfileLayer.jsx,158,GET,{VITE_APIURL}City,,axios
components,src/components/DistributorLayer.jsx,104,GET,{VITE_APIURL}City,,axios
components,src/components/EmployeeAddLayer.jsx,191,GET,{VITE_APIURL}City,,axios
components,src/components/TechniciansAddLayer.jsx,137,GET,{VITE_APIURL}City,,axios
components,src/components/CityLayer.jsx,90,POST,{VITE_APIURL}City,"CityName, StateID, Pincode, IsActive",axios
components,src/components/CityLayer.jsx,76,PUT,{VITE_APIURL}City,"CityName, IsActive, Pincode, StateID, CityID",axios
components,src/components/CompanyInformationLayer.jsx,31,GET,{VITE_APIURL}CompanyInfo,,axios
components,src/components/CompanyInformationLayer.jsx,126,DELETE,{VITE_APIURL}CompanyInfo/{id},,axios
components,src/components/CompanyInformationLayer.jsx,77,POST,{VITE_APIURL}CompanyInfo/InsertCompanyInfo,"...{formData}, ModifiedBy, ...{rest}, CreatedBy",axios
components,src/components/CompanyInformationLayer.jsx,64,PUT,{VITE_APIURL}CompanyInfo/UpdateCompanyInfo,"...{formData}, ModifiedBy, ...{rest}, CreatedBy",axios
components,src/components/ContactsLayer.jsx,16,GET,{VITE_APIURL}Contact,,axios
components,src/components/DealerServicePriceLayer.jsx,16,GET,{VITE_APIURL}Contact,,axios
components,src/components/CouponLayer.jsx,31,GET,{VITE_APIURL}Coupons,,axios
components,src/components/CouponLayer.jsx,80,POST,{VITE_APIURL}Coupons,"code, description, discountType, discountValue, validFrom, validTill, maxUsagePerUser, isActive, MaxDisAmount, MinBookingAmount, ...{ObjectExpression} OR {ObjectExpression}",axios
components,src/components/CouponLayer.jsx,77,PUT,{VITE_APIURL}Coupons,"code, description, discountType, discountValue, validFrom, validTill, maxUsagePerUser, isActive, MaxDisAmount, MinBookingAmount, ...{ObjectExpression} OR {ObjectExpression}",axios
components,src/components/TicketsAddLayer.jsx,85,GET,{VITE_APIURL}customer,,axios
components,src/components/CustomerLayer.jsx,23,GET,{VITE_APIURL}Customer,,axios
components,src/components/BasicInformationLayer.jsx,177,GET,{VITE_APIURL}Customer/get-customer-bank-details?customerId={customerId},,axios
components,src/components/RefundLayer.jsx,88,GET,{VITE_APIURL}Customer/get-customer-bank-details?customerId={customerId},,axios
components,src/components/RefundLayer.jsx,113,GET,{VITE_APIURL}Customer/get-customer-bank-details?customerId={customerId},,axios
components,src/components/TicketInnerLayer.jsx,113,GET,{VITE_APIURL}Customer/get-customer-bank-details?customerId={customerId},,axios
components,src/components/CustomerViewLayer.jsx,30,GET,{VITE_APIURL}Customer/Id?Id={CustomerID},,axios
components,src/components/BasicInformationLayer.jsx,445,POST,{VITE_APIURL}Customer/upsert-customer-bank-details,"id, customerId, accountHolderName, bankName, accountNumber, ifscCode, branch, upiId, userId, Id, RegistrationNumber, BrandID, ModelID, FuelTypeID, KmDriven, YearOfPurchase, VehicleId, custID",axios
components,src/components/TicketInnerLayer.jsx,320,POST,{VITE_APIURL}Customer/upsert-customer-bank-details,"id, customerId, accountHolderName, bankName, accountNumber, ifscCode, branch, upiId, userId",axios
components/child,src/components/child/UnitCountSeven.jsx,37,GET,{VITE_APIURL}Dashboard,,axios
components/child,src/components/child/IncomeVsExpense.jsx,14,GET,{VITE_APIURL}Dashboard/MothlyIncome,,axios
components,src/components/BookServicesLayer.jsx,226,GET,{VITE_APIURL}Dealer,,axios
components,src/components/EmployeeAddLayer.jsx,172,GET,{VITE_APIURL}Dealer,,axios
components,src/components/ExpenditureLayer.jsx,118,GET,{VITE_APIURL}Dealer,,axios
components,src/components/TechniciansAddLayer.jsx,144,GET,{VITE_APIURL}Dealer,,axios
components,src/components/DealerAddLayer.jsx,385,POST,{VITE_APIURL}Dealer,"dealerID, distributorID, fullName, phoneNumber, email, passwordHash, stateID, cityID, address, gstNumber, createdDate, isActive, longitude, latitude, bankAccountNumber, branchName, ifscCode, bankName, categoryIds, modifiedDate, rating, commissionType, amount, dealerType, DistributorID, FullName, PhoneNumber, Email, PasswordHash, Address, StateID, CityID, IsActive, GSTNumber, CreatedDate, Longitude, Latitude, BankAccountNumber, BranchName, IFSCCode, BankName, CategoryIDs, Rating, CategoryNames",axios
components,src/components/DealerAddLayer.jsx,344,PUT,{VITE_APIURL}Dealer,"dealerID, distributorID, fullName, phoneNumber, email, passwordHash, stateID, cityID, address, gstNumber, createdDate, isActive, longitude, latitude, bankAccountNumber, branchName, ifscCode, bankName, categoryIds, modifiedDate, rating, commissionType, amount, dealerType, DistributorID, FullName, PhoneNumber, Email, PasswordHash, Address, StateID, CityID, IsActive, GSTNumber, CreatedDate, Longitude, Latitude, BankAccountNumber, BranchName, IFSCCode, BankName, CategoryIDs, Rating, CategoryNames",axios
components,src/components/DealerProfileLayer.jsx,228,PUT,{VITE_APIURL}Dealer,"dealerID, distributorID, fullName, phoneNumber, email, passwordHash, stateID, cityID, address, gstNumber, createdDate, modifiedDate, isActive, longitude, latitude, bankAccountNumber, branchName, ifscCode, bankName, categoryIds, rating, commissionType, amount, dealerType",axios
components,src/components/DealerLayer.jsx,29,GET,{VITE_APIURL}Dealer OR {VITE_APIURL}Dealer?role={{localStorage.getItem}}&DistributorID={{localStorage.getItem}},,axios
components,src/components/DealerViewLayer.jsx,21,GET,{VITE_APIURL}Dealer/{DealerID},,axios
components,src/components/BookServicesLayer.jsx,1407,POST,{VITE_APIURL}Dealer/DealerApproveBookingBulk,"ids, type, status, dealerId, createdBy, reason",axios
components,src/components/DealerBookingsView.jsx,541,POST,{VITE_APIURL}Dealer/DealerApproveBookingBulk,"ids, type, status, dealerId, createdBy",axios
components,src/components/DealerProfileLayer.jsx,104,GET,{VITE_APIURL}Dealer/dealerid?dealerid={{localStorage.getItem}},,axios
components,src/components/DealerAddLayer.jsx,157,GET,{VITE_APIURL}Dealer/dealerid?dealerid={DealerID},,axios
components,src/components/BookingViewLayer.jsx,3370,POST,{VITE_APIURL}Dealer/GenerateDealerInvoice,"bookingID, dealerID",axios
components,src/components/InvoiceViewLayer.jsx,87,POST,{VITE_APIURL}Dealer/GenerateDealerInvoice,"bookingID, dealerID",axios
components,src/components/InvoiceViewLayer.jsx,280,POST,{VITE_APIURL}Dealer/GenerateDealerInvoice,"bookingID, dealerID",axios
components,src/components/DealerDashboardLayer.jsx,180,GET,{VITE_APIURL}Dealer/GetDealerDashboardSummary?DealerID={{localStorage.getItem}},,axios
components,src/components/DealerPaymentsLayer.jsx,59,GET,{VITE_APIURL}Dealer/GetDealerExpenditures,,axios
components,src/components/DealerServicesLayer.jsx,36,GET,{VITE_APIURL}Dealer/GetDealerServicesByStatus?DealerID={{localStorage.getItem}},,axios
components,src/components/InvoiceViewLayer.jsx,137,POST,{VITE_APIURL}Dealer/SendDealerInvoice,"bookingID, dealerID",axios
components,src/components/DepartmentsLayer.jsx,37,GET,{VITE_APIURL}Departments,,axios
components,src/components/DesignationsLayer.jsx,47,GET,{VITE_APIURL}Departments,,axios
components,src/components/EmployeeAddLayer.jsx,376,GET,{VITE_APIURL}Departments,,axios
components,src/components/EmployeeLayer.jsx,55,GET,{VITE_APIURL}Departments,,axios
components,src/components/LeadsAssignLayer.jsx,148,GET,{VITE_APIURL}Departments,,axios
components,src/components/SupervisorAssignBookingLayer.jsx,186,GET,{VITE_APIURL}Departments,,axios
components,src/components/TelecalerAssignTicketLayer.jsx,76,GET,{VITE_APIURL}Departments,,axios
components,src/components/DepartmentsLayer.jsx,78,POST,{VITE_APIURL}Departments,"departmentName, createdBy, isActive",axios
components,src/components/DepartmentsLayer.jsx,66,PUT,{VITE_APIURL}Departments,"deptId, departmentName, modifiedBy, isActive",axios
components,src/components/DesignationsLayer.jsx,66,GET,{VITE_APIURL}Designations,,axios
components,src/components/EmployeeAddLayer.jsx,442,GET,{VITE_APIURL}Designations,,axios
components,src/components/DesignationsLayer.jsx,119,POST,{VITE_APIURL}Designations,"deptId, designation_name, level, is_Head",axios
components,src/components/DesignationsLayer.jsx,112,PUT,{VITE_APIURL}Designations,"...{payload}, id",axios
components,src/components/DealerAddLayer.jsx,217,GET,{VITE_APIURL}Distributors,,axios
components,src/components/DistributorLayer.jsx,62,GET,{VITE_APIURL}Distributors,,axios
components,src/components/TechniciansAddLayer.jsx,163,GET,{VITE_APIURL}Distributors,,axios
components,src/components/DistributorLayer.jsx,165,POST,{VITE_APIURL}Distributors,,axios
components,src/components/DistributorLayer.jsx,157,PUT,{VITE_APIURL}Distributors,,axios
components,src/components/AssignSupervisorArea.jsx,59,GET,{VITE_APIURL}Employee,,axios
components,src/components/AssignTechnicianLayer.jsx,193,GET,{VITE_APIURL}Employee,,axios
components,src/components/AssignTechnicianLayer.jsx,201,GET,{VITE_APIURL}Employee,,axios
components,src/components/BasicInformationLayer.jsx,221,GET,{VITE_APIURL}Employee,,axios
components,src/components/BookingLayer.jsx,175,GET,{VITE_APIURL}Employee,,axios
components,src/components/BookingLayer.jsx,206,GET,{VITE_APIURL}Employee,,axios
components,src/components/BookingReportSortingLayer.jsx,111,GET,{VITE_APIURL}Employee,,axios
components,src/components/BookingViewLayer.jsx,910,GET,{VITE_APIURL}Employee,,axios
components,src/components/BookingViewLayer.jsx,939,GET,{VITE_APIURL}Employee,,axios
components,src/components/EmployeeAddLayer.jsx,397,GET,{VITE_APIURL}Employee,,axios
components,src/components/EmployeeLayer.jsx,45,GET,{VITE_APIURL}Employee,,axios
components,src/components/ForwardLeadsLayer.jsx,86,GET,{VITE_APIURL}Employee,,axios
components,src/components/LeadsAssignLayer.jsx,170,GET,{VITE_APIURL}Employee,,axios
components,src/components/LeadsAssignLayer.jsx,193,GET,{VITE_APIURL}Employee,,axios
components,src/components/LeadViewLayer.jsx,552,GET,{VITE_APIURL}Employee,,axios
components,src/components/OrganicLeadsLayer.jsx,139,GET,{VITE_APIURL}Employee,,axios
components,src/components/SupervisorAssignBookingLayer.jsx,141,GET,{VITE_APIURL}Employee,,axios
components,src/components/SupervisorAssignBookingLayer.jsx,208,GET,{VITE_APIURL}Employee,,axios
components,src/components/SupervisorAssignBookingLayer.jsx,234,GET,{VITE_APIURL}Employee,,axios
components,src/components/TelecalerAssignBookingLayer.jsx,42,GET,{VITE_APIURL}Employee,,axios
components,src/components/TelecalerAssignTicketLayer.jsx,99,GET,{VITE_APIURL}Employee,,axios
components,src/components/TelecalerAssignTicketLayer.jsx,121,GET,{VITE_APIURL}Employee,,axios
components,src/components/EmployeeAddLayer.jsx,330,POST,{VITE_APIURL}Employee,"{key}, DealerIds",axios
components,src/components/EmployeeAddLayer.jsx,323,PUT,{VITE_APIURL}Employee,"{key}, DealerIds",axios
components,src/components/ViewProfileLayer.jsx,219,PUT,{VITE_APIURL}Employee,"Id, Name, Email, PhoneNumber, Address, RoleName, RoleId, DeptId, Designation_Id, Reporting_To, Status, Password, ProfileImage1",axios
components,src/components/EmployeeLayer.jsx,115,POST,{VITE_APIURL}Employee/BulkAssign,"employeeIds, deptId",axios
components,src/components/ForgotPasswordLayer.jsx,157,POST,{VITE_APIURL}Employee/forgot-password/reset,"employeeId, newPassword",axios
components,src/components/ForgotPasswordLayer.jsx,42,POST,{VITE_APIURL}Employee/forgot-password/send-otp,,axios
components,src/components/ForgotPasswordLayer.jsx,125,POST,{VITE_APIURL}Employee/forgot-password/send-otp,email,axios
components,src/components/ForgotPasswordLayer.jsx,65,POST,{VITE_APIURL}Employee/forgot-password/verify-otp,"email, otp",axios
components,src/components/ViewProfileLayer.jsx,46,GET,{VITE_APIURL}Employee/Id?Id={{localStorage.getItem}},,axios
components,src/components/SignInLayer.jsx,62,GET,{VITE_APIURL}Employee/Id?Id={data.id},,axios
components,src/components/EmployeeAddLayer.jsx,87,GET,{VITE_APIURL}Employee/Id?Id={EmployeeID},,axios
components,src/components/EmployeeViewLayer.jsx,21,GET,{VITE_APIURL}Employee/Id?Id={EmployeeID},,axios
components,src/components/ExpenditureCategoryLayer.jsx,33,GET,{VITE_APIURL}Expenditure,,axios
components,src/components/ExpenditureLayer.jsx,111,GET,{VITE_APIURL}Expenditure,,axios
components,src/components/ExpenditureCategoryLayer.jsx,79,POST,{VITE_APIURL}Expenditure,"expenseCategoryID, categoryName, isActive, modifiedBy, createdBy",axios
components,src/components/ExpenditureCategoryLayer.jsx,66,PUT,{VITE_APIURL}Expenditure,"expenseCategoryID, categoryName, isActive, modifiedBy, createdBy",axios
components,src/components/ExpenditureCategoryLayer.jsx,130,DELETE,{VITE_APIURL}Expenditure/{row.ExpenseCategoryID},,axios
components,src/components/DealerPaymentsLayer.jsx,384,POST,{VITE_APIURL}Expenditure/Expenditure,"expenseDate, expenseCategoryID, amount, paymentMode, dealerID, technicianID, bookingID, referenceNo, notes, status, createdBy, isActive, addOnId, billPath",axios
components,src/components/ExpenditureLayer.jsx,262,POST,{VITE_APIURL}Expenditure/Expenditure,"expenseDate, expenseCategoryID, amount, paymentMode, dealerID, technicianID, bookingID, referenceNo, notes, status, isActive, billPath, expenseID, modifiedBy, createdBy",axios
components,src/components/ExpenditureLayer.jsx,299,POST,{VITE_APIURL}Expenditure/Expenditure,"...{basePayload}, createdBy",axios
components,src/components/RefundLayer.jsx,437,POST,{VITE_APIURL}Expenditure/Expenditure,"expenseDate, expenseCategoryID, amount, paymentMode, dealerID, technicianID, bookingID, referenceNo, notes, status, createdBy, isActive, addOnId, billPath",axios
components,src/components/ExpenditureLayer.jsx,256,PUT,{VITE_APIURL}Expenditure/Expenditure,"expenseDate, expenseCategoryID, amount, paymentMode, dealerID, technicianID, bookingID, referenceNo, notes, status, isActive, billPath, expenseID, modifiedBy, createdBy",axios
components,src/components/ExpenditureLayer.jsx,290,PUT,{VITE_APIURL}Expenditure/Expenditure,"...{basePayload}, expenseID, modifiedBy",axios
components,src/components/ExpenditureLayer.jsx,369,DELETE,{VITE_APIURL}Expenditure/expenditure/{expenseID},,axios
components,src/components/ExpenditureLayer.jsx,101,GET,{VITE_APIURL}Expenditure/Expenditures,,axios
components,src/components/ExplanationsAddLayer.jsx,208,POST,{VITE_APIURL}Explanations,"type, packageID, explanation, id, question, answer",axios
components,src/components/ExplanationsAddLayer.jsx,249,PUT,{VITE_APIURL}Explanations,"type, packageID, explanation, id, question, answer",axios
components,src/components/ExplanationsAddLayer.jsx,94,GET,{VITE_APIURL}Explanations?Id={id},,axios
components,src/components/ExplanationsLayer.jsx,48,DELETE,{VITE_APIURL}Explanations/DeleteExplanation/{faqId},,axios
components,src/components/ExplanationsLayer.jsx,24,GET,{VITE_APIURL}Explanations/Packages,,axios
components,src/components/FaqsAddLayer.jsx,207,POST,{VITE_APIURL}FAQS,"type, packageID, faQs, id, question, answer",axios
components,src/components/FaqsAddLayer.jsx,248,PUT,{VITE_APIURL}FAQS,"type, packageID, faQs, id, question, answer",axios
components,src/components/FaqsAddLayer.jsx,93,GET,{VITE_APIURL}FAQS?Id={id},,axios
components,src/components/FaqsLayer.jsx,48,DELETE,{VITE_APIURL}FAQS/DeleteFAQ/{faqId},,axios
components,src/components/FaqsLayer.jsx,24,GET,{VITE_APIURL}FAQS/Packages,,axios
components,src/components/ServicesRatingLayer.jsx,23,GET,{VITE_APIURL}Feedback,,axios
